WORD,WORD_LOWER,HAP_MEAN,HAP_STD,ANG_MEAN,ANG_STD,SAD_MEAN,SAD_STD,FEA_MEAN,FEA_STD,DIS_MEAN,DIS_STD,BasicEmoCat conservative,BasicEmoCat liberal
BASTARD,bastard,1.15,0.489360485,2.55,1.431782106,1.45,0.759154655,1.65,1.386969434,1.5,1,,ANG
BATTERIE,batterie,1.15,0.366347549,1.05,0.223606798,1,0,1.05,0.223606798,1.05,0.223606798,,HAP
BAUER,bauer,1.8,1.105012503,1.9,1.209610638,1.65,1.136708082,1.5,1,1.85,1.225818738,,ANG
BAUM,baum,3.47826087,1.343995577,1.434782609,0.895751942,1.695652174,1.145536104,1.565217391,1.160959124,1.173913043,0.387553388,HAP,HAP
BAZILLE,bazille,1,0,2.1,1.119210248,1.3,0.656946685,2.8,1.472555959,3.3,1.417930293,,DIS
BEAMTE,beamte,1.136363636,0.351250087,2.5,1.439245834,1.136363636,0.467562529,1.363636364,0.581087203,1.636363636,1.135800726,,ANG
BECHER,becher,1.363636364,0.7267314,1.090909091,0.294244943,1.045454545,0.213200716,1.045454545,0.213200716,1.227272727,0.528413455,,HAP
BEDARF,bedarf,1.090909091,0.294244943,1.272727273,0.550481883,1.181818182,0.501081082,1.363636364,0.581087203,1.090909091,0.294244943,,FEA
BEDENKEN,bedenken,1.15,0.366347549,2.05,0.944513241,1.5,0.512989176,2.35,0.812727701,1.05,0.223606798,,FEA
BEFEHL,befehl,1.304347826,0.926124997,3.304347826,1.329209697,1.304347826,0.558795995,2.086956522,1.083472678,1.52173913,1.201119373,,ANG
BEFINDEN,befinden,1.55,0.825577947,1.15,0.366347549,1.3,0.571240571,1.35,0.670820393,1,0,,HAP
BEFREIER,befreier,3.4,1.391704748,1.35,0.812727701,1.2,0.523148364,1.3,0.571240571,1.1,0.447213595,HAP,HAP
BEFUGNIS,befugnis,1.714285714,0.902377811,1.666666667,0.912870929,1.047619048,0.21821789,1.333333333,0.577350269,1.047619048,0.21821789,,HAP
BEFUND,befund,1.227272727,0.528413455,1.363636364,0.7267314,1.5,0.912870929,2.636363636,1.590012116,1.181818182,0.501081082,,FEA
BEGABUNG,begabung,3.6,0.88257995,1.25,0.550119604,1.15,0.489360485,1.35,0.670820393,1,0,HAP,HAP
BEGIERDE,begierde,2.05,1.099042646,1.6,0.820782682,1.15,0.366347549,1.3,0.571240571,1.55,0.998683344,,HAP
BEGINN,beginn,2.761904762,1.410842369,1.047619048,0.21821789,1,0,1.571428571,1.028174527,1.047619048,0.21821789,,HAP
BEHÖRDE,behörde,1.2,0.894427191,3.05,1.276302225,1.2,0.695852374,1.35,0.587142949,1.45,0.998683344,ANG,ANG
BEICHTE,beichte,1.3,0.656946685,1.95,1.190974833,1.9,0.967906042,2.4,1.313893371,1.65,1.089422831,,FEA
BEIFALL,beifall,3.5,1.357241785,1,0,1,0,1.05,0.223606798,1,0,HAP,HAP
BEIHILFE,beihilfe,1.35,0.670820393,1.95,1.234376041,1.45,0.825577947,1.3,0.656946685,1.25,0.910465468,,ANG
BEIL,beil,1.19047619,0.679635757,2.19047619,1.167006753,1.666666667,0.912870929,3.285714286,1.383577144,1.761904762,1.04425868,,FEA
BEILEID,beileid,1.1,0.307793506,1.35,0.587142949,3.25,1.29269201,1.75,1.118033989,1,0,SAD,SAD
BEISPIEL,beispiel,1.4,0.820782682,1.05,0.223606798,1,0,1,0,1,0,,HAP
BELEG,beleg,1.55,0.944513241,1.95,1.276302225,1.3,0.801314709,1.45,0.825577947,1.45,0.998683344,,ANG
BENGEL,bengel,1.434782609,0.662370876,2.173913043,1.114049693,1.086956522,0.288104066,1.173913043,0.387553388,1.391304348,0.891328449,,ANG
BENZIN,benzin,1.428571429,0.870139562,2.142857143,1.31475147,1.19047619,0.402373908,1.571428571,0.870139562,1.904761905,1.091089451,,ANG
BERATUNG,beratung,1.75,0.910465468,1.15,0.489360485,1.15,0.489360485,1.35,0.670820393,1,0,,HAP
BEREICH,bereich,1.15,0.366347549,1,0,1,0,1,0,1.05,0.223606798,,HAP
BERICHT,bericht,1.25,0.638666374,1.25,0.716350399,1,0,1.35,0.988086934,1,0,,FEA
BERUF,beruf,2.619047619,1.359271514,1.80952381,0.92838826,1.333333333,0.856348839,2.285714286,1.309307341,1.19047619,0.679635757,,HAP
BESEN,besen,1.333333333,0.577350269,2.142857143,1.195228609,1.285714286,0.643650304,1.238095238,0.700340053,1.666666667,1.110555417,,ANG
BESTECK,besteck,1.7,1.260743306,1.15,0.489360485,1.05,0.223606798,1,0,1.05,0.223606798,,HAP
BESTIE,bestie,1.375,0.769669607,1.916666667,1.31601066,1.458333333,1.178767472,2.708333333,1.601063958,2.25,1.421878733,,FEA
BESUCH,besuch,3.090909091,1.269011273,1.227272727,0.528413455,1.136363636,0.351250087,1.363636364,0.789542034,1.136363636,0.467562529,HAP,HAP
BESUCHER,besucher,2.8,1.105012503,1.1,0.307793506,1,0,1.15,0.366347549,1,0,HAP,HAP
BETRAG,betrag,1.142857143,0.478091444,1.619047619,0.973457265,1.19047619,0.511766316,1.380952381,0.74001287,1.142857143,0.478091444,,ANG
BETRIEB,betrieb,1.5,0.827170192,1.35,0.988086934,1.1,0.307793506,1.15,0.366347549,1.1,0.447213595,,HAP
BETRUG,betrug,1.045454545,0.213200716,3.363636364,1.432462234,1.818181818,1.139605765,2.318181818,1.323284645,1.272727273,0.550481883,,ANG
BETT,bett,3.9,0.967906042,1.15,0.489360485,1.15,0.489360485,1.15,0.489360485,1.2,0.523148364,HAP,HAP
BEULE,beule,1.45,0.759154655,3.15,1.386969434,2,1.213953957,1.85,1.136708082,1.95,1.145931017,,ANG
BEUTEL,beutel,1.227272727,0.869143979,1.090909091,0.426401433,1.090909091,0.426401433,1.136363636,0.467562529,1.5,0.963624112,,DIS
BEWEGUNG,bewegung,2.45,1.099042646,1.1,0.307793506,1.1,0.447213595,1.1,0.307793506,1,0,HAP,HAP
BEWEIS,beweis,1.52173913,0.897955517,1.47826087,0.897955517,1.086956522,0.288104066,1.47826087,0.845822097,1,0,,HAP
BEWERBER,bewerber,1.55,0.825577947,1.3,0.656946685,1,0,1.6,0.940324692,1.15,0.670820393,,FEA
BIBEL,bibel,2,1.256561725,2.45,1.099042646,1.75,1.118033989,1.5,0.688247202,1.8,1.281446551,,ANG
